Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://localhost/jpetstore/,1000,0,0,4,0.43,0.000%,39.25879,29.40,0.00,766.8
http://localhost/jpetstore/shop/index.shtml,6000,0,0,348,4.52,0.000%,16.95231,88.31,0.00,5334.3
http://localhost/jpetstore/shop/signonForm.shtml,1000,0,0,20,0.85,0.000%,19.43824,67.86,0.00,3574.7
http://localhost/jpetstore/shop/signon.shtml,1000,0,0,36,1.30,0.000%,16.65029,85.69,0.00,5269.7
http://localhost/jpetstore/shop/viewCategory.shtml,5000,0,0,35,0.77,0.000%,17.88838,70.33,0.00,4025.7
http://localhost/jpetstore/shop/viewProduct.shtml,5000,0,0,49,1.00,0.000%,17.88122,73.94,0.00,4234.5
http://localhost/jpetstore/shop/addItemToCart.shtml,5000,0,0,24,0.66,0.000%,17.49506,118.99,0.00,6964.5
http://localhost/jpetstore/shop/checkout.shtml,1000,0,0,8,0.53,0.000%,6.14236,28.13,0.00,4689.7
http://localhost/jpetstore/shop/newOrderForm.shtml,1000,0,0,17,0.66,0.000%,5.94361,31.22,0.00,5378.6
http://localhost/jpetstore/shop/newOrder.shtml,2000,1,0,21,0.77,0.000%,11.27453,64.65,0.00,5871.6
http://localhost/jpetstore/shop/signoff.shtml,1000,1,0,40,1.27,0.000%,5.47315,26.86,0.00,5025.8
TOTAL,29000,0,0,348,2.20,0.000%,78.82127,383.75,0.00,4985.5
